name,value,year,lastValue,rank
Microsoft,64970.3,2001.1,65068,
Microsoft,64957.4,2002.8,64849.1,
Microsoft,64872.6,2001.2,64970.3,
Microsoft,64849.1,2002.7,64740.8,
Amazon,64796,2017,63350.2,
Microsoft,64793.8,2003.1,65174,
Microsoft,64774.9,2001.3,64872.6,
Microsoft,64740.8,2002.6,64632.5,
IBM,64727,2010,64275.4,
Microsoft,64677.2,2001.4,64774.9,
Microsoft,64632.5,2002.5,64524.2,
Microsoft,64579.5,2001.5,64677.2,
Microsoft,64524.2,2002.4,64415.9,
Microsoft,64481.8,2001.6,64579.5,
Microsoft,64415.9,2002.3,64307.6,
Microsoft,64413.6,2003.2,64793.8,
Microsoft,64412,2014.5,63760.4,
Microsoft,64384.1,2001.7,64481.8,
Microsoft,64307.6,2002.2,64199.3,
Microsoft,64286.4,2001.8,64384.1,
IBM,64275.4,2009.9,63823.8,
Microsoft,64199.3,2002.1,64091,
Microsoft,64188.7,2001.9,64286.4,
Microsoft,64091,2002,64188.7,
Microsoft,64033.4,2003.3,64413.6,
Google,63962.4,2011.6,62521.5,
IBM,63835.5,2015.1,65095,
IBM,63823.8,2009.8,63372.2,
Microsoft,63760.4,2014.4,63108.8,
Microsoft,63653.2,2003.4,64033.4,
Apple,63645.2,2011.7,59337.6,
IBM,63372.2,2009.7,62920.6,
Amazon,63350.2,2016.9,61904.4,
Microsoft,63273,2003.5,63653.2,
Microsoft,63108.8,2014.3,62457.2,
IBM,62920.6,2009.6,62469,
Microsoft,62892.8,2003.6,63273,
IBM,62576,2015.2,63835.5,
Google,62521.5,2011.5,61080.6,
Microsoft,62512.6,2003.7,62892.8,
IBM,62469,2009.5,62017.4,
Microsoft,62457.2,2014.2,61805.6,
Microsoft,62132.4,2003.8,62512.6,
IBM,62017.4,2009.4,61565.8,
Amazon,61904.4,2016.8,60458.6,
Microsoft,61805.6,2014.1,61154,
Microsoft,61752.2,2003.9,62132.4,
IBM,61565.8,2009.3,61114.2,
Microsoft,61372,2004,61752.2,
IBM,61316.5,2015.3,62576,
Microsoft,61228.9,2004.1,61372,
Microsoft,61154,2014,60993.2,
IBM,61114.2,2009.2,60662.6,
Microsoft,61085.8,2004.2,61228.9,
Google,61080.6,2011.4,59639.7,
Microsoft,60993.2,2013.9,60832.4,
Microsoft,60942.7,2004.3,61085.8,
Microsoft,60895,2010,60470.2,
Microsoft,60832.4,2013.8,60671.6,
Microsoft,60799.6,2004.4,60942.7,
Microsoft,60714.2,2010.1,60895,
Microsoft,60671.6,2013.7,60510.8,
IBM,60662.6,2009.1,60211,
Microsoft,60656.5,2004.5,60799.6,
Microsoft,60533.4,2010.2,60714.2,
Microsoft,60513.4,2004.6,60656.5,
Microsoft,60510.8,2013.6,60350,
Microsoft,60470.2,2009.9,60045.4,
Amazon,60458.6,2016.7,59012.8,
Microsoft,60370.3,2004.7,60513.4,
Microsoft,60352.6,2010.3,60533.4,
Microsoft,60350,2013.5,60189.2,
Microsoft,60227.2,2004.8,60370.3,
IBM,60211,2009,60093,
Microsoft,60189.2,2013.4,60028.4,
Microsoft,60171.8,2010.4,60352.6,
IBM,60093,2008.9,59975,
Microsoft,60084.1,2004.9,60227.2,
IBM,60057,2015.4,61316.5,
Microsoft,60045.4,2009.8,59620.6,
Microsoft,60028.4,2013.3,59867.6,
Microsoft,59991,2010.5,60171.8,
IBM,59975,2008.8,59857,
Microsoft,59941,2005,60084.1,
Samsung,59890,2018,59525.9,
Microsoft,59867.6,2013.2,59706.8,
IBM,59857,2008.7,59739,
Microsoft,59810.2,2010.6,59991,
IBM,59739,2008.6,59621,
Microsoft,59706.8,2013.1,59546,
Google,59639.7,2011.3,58198.8,
Microsoft,59639.5,2005.1,59941,
Microsoft,59629.4,2010.7,59810.2,
IBM,59621,2008.5,59503,
Microsoft,59620.6,2009.7,59195.8,
Microsoft,59546,2013,59376.7,
Samsung,59525.9,2017.9,59161.8,
IBM,59503,2008.4,59385,
